feature,Selection count,Pair count,CPSS Score,Worst Case Bound,Unimodal Bound
METH__ZNF701,1,0,0.1,False,False
METH__UNC13D,1,0,0.1,False,False
TPM__BACE1,1,0,0.1,False,False
METH__HIST2H2BA,1,0,0.1,False,False
TPM__MIR100HG,1,0,0.1,False,False
TPM__PAM,1,0,0.1,False,False
METH__ERF,1,0,0.1,False,False
METH__C12orf54,1,0,0.1,False,False
TPM__PKP1,1,0,0.1,False,False
TPM__GLB1L,1,0,0.1,False,False
METH__CYP27A1,1,0,0.1,False,False
TPM__SDC3,1,0,0.1,False,False
TPM__PCDHB10,1,0,0.1,False,False
TPM__ALOX12P2,1,0,0.1,False,False
TPM__FAM200C,1,0,0.1,False,False
METH__NLRP14,1,0,0.1,False,False
TPM__GPRIN1,1,0,0.1,False,False
TPM__NOB1,1,0,0.1,False,False
TPM__SLC37A3,1,0,0.1,False,False
METH__SHISA4,1,0,0.1,False,False
TPM__C1QL1,1,0,0.1,False,False
TPM__KCNMA1,1,0,0.1,False,False
TPM__HDX,1,0,0.1,False,False
TPM__KIF5C,1,0,0.1,False,False
METH__MYH14,1,0,0.1,False,False
TPM__ZNF503-AS2,1,0,0.1,False,False
TPM__TP63,1,0,0.1,False,False
TPM__TMEM181,1,0,0.1,False,False
METH__TMCC1,1,0,0.1,False,False
TPM__PDZD4,1,0,0.1,False,False
TPM__DPY19L2,1,0,0.1,False,False
TPM__PTS,1,0,0.1,False,False
TPM__PHC2,1,0,0.1,False,False
TPM__BRSK2,1,0,0.1,False,False
TPM__RGS4,1,0,0.1,False,False
TPM__PCDHB16,1,0,0.1,False,False
TPM__DAPP1,1,0,0.1,False,False
TPM__SHISA4,0,0,0.0,False,False
METH__NLRP1,0,0,0.0,False,False
TPM__GDI1,0,0,0.0,False,False
METH__MAP1LC3B2,0,0,0.0,False,False
TPM__MSANTD3-TMEFF1,0,0,0.0,False,False
TPM__CALU,0,0,0.0,False,False
TPM__ZNF225-AS1,0,0,0.0,False,False
TPM__ADAMTSL1,0,0,0.0,False,False
TPM__SEZ6L2,0,0,0.0,False,False
TPM__DENND1C,0,0,0.0,False,False
TPM__S100A8,0,0,0.0,False,False
METH__KRT15,0,0,0.0,False,False
TPM__RGS7,0,0,0.0,False,False
TPM__RAPH1,0,0,0.0,False,False
TPM__MAPK8IP1,0,0,0.0,False,False
METH__TMC8,0,0,0.0,False,False
TPM__SMIM29,0,0,0.0,False,False
TPM__CAPRIN2,0,0,0.0,False,False
TPM__CENPBD2P,0,0,0.0,False,False
TPM__CEP15,0,0,0.0,False,False
TPM__GPR173,0,0,0.0,False,False
TPM__TRAF3IP3,0,0,0.0,False,False
TPM__SLC35G2,0,0,0.0,False,False
TPM__LONRF2,0,0,0.0,False,False
TPM__TRPC1,0,0,0.0,False,False
METH__MGAT1,0,0,0.0,False,False
METH__RGS7BP,0,0,0.0,False,False
METH__ZNF790,0,0,0.0,False,False
TPM__EFR3B,0,0,0.0,False,False
TPM__SARM1,0,0,0.0,False,False
TPM__FAM110B,0,0,0.0,False,False
TPM__RTL8B,0,0,0.0,False,False
TPM__SCG2,0,0,0.0,False,False
TPM__KIF3C,0,0,0.0,False,False
TPM__GJB3,0,0,0.0,False,False
METH__PTPN6,0,0,0.0,False,False
METH__DAPP1,0,0,0.0,False,False
TPM__TLCD5,0,0,0.0,False,False
TPM__MARCHF4,0,0,0.0,False,False
METH__TMEM45A,0,0,0.0,False,False
METH__TMC6,0,0,0.0,False,False
METH__PHC1,0,0,0.0,False,False
TPM__SYTL1,0,0,0.0,False,False
TPM__TMEM198,0,0,0.0,False,False
TPM__TUBB2A,0,0,0.0,False,False
TPM__ZCCHC24,0,0,0.0,False,False
TPM__DNAJC22,0,0,0.0,False,False
METH__SNORD93,0,0,0.0,False,False
TPM__SVIP,0,0,0.0,False,False
TPM__PFN2,0,0,0.0,False,False
TPM__TMEM158,0,0,0.0,False,False
TPM__BEX1,0,0,0.0,False,False
